Year,Month,Day,Hour,Minute, DeltaT (min),airTemperature,relativeHumidity,solarIrradiance,windSpeed,windDirection
2016,4,20,0,0,0,15,88,0,8.89,221.6
2016,4,20,0,1,1,14.8,88.1,0,7.67,226.8
2016,4,20,0,2,2,14.8,88.4,0,7.45,211.4
2016,4,20,0,3,3,14.7,88.7,0,6.66,219.9
2016,4,20,0,4,4,14.7,88.9,0,6.55,207.9
2016,4,20,0,5,5,14.7,89.1,0,7.63,211.2
2016,4,20,0,6,6,14.7,89,0,6.88,225.4
2016,4,20,0,7,7,14.7,89,0,7.92,219.1
2016,4,20,0,8,8,14.7,89.1,0,7.27,228.1
2016,4,20,0,9,9,14.7,89.1,0,6.98,218.4
2016,4,20,0,10,10,14.6,89.2,0,5.44,223.4
2016,4,20,0,11,11,14.5,89.4,0,4.9,218.2
2016,4,20,0,12,12,14.5,89.7,0,5.83,215.1
2016,4,20,0,13,13,14.5,89.7,0,6.05,204.3
2016,4,20,0,14,14,14.5,89.7,0,5.83,215.7
2016,4,20,0,15,15,14.5,89.5,0,5.58,228.5
2016,4,20,0,16,16,14.6,89.2,0,10.19,212.4
2016,4,20,0,17,17,14.5,89.1,0,6.37,214.9
2016,4,20,0,18,18,14.5,89.2,0,6.34,206.5
2016,4,20,0,19,19,14.5,89.3,0,6.26,208.6
2016,4,20,0,20,20,14.5,89.4,0,8.46,204.2
2016,4,20,0,21,21,14.4,89.4,0,7.24,197.3
2016,4,20,0,22,22,14.4,89.5,0,6.77,213.2
2016,4,20,0,23,23,14.4,89.4,0,7.92,209.4
2016,4,20,0,24,24,14.4,89.6,0,7.49,196
2016,4,20,0,25,25,14.4,89.6,0,8.1,201
2016,4,20,0,26,26,14.4,89.4,0,8.03,220.1
2016,4,20,0,27,27,14.4,89.4,0,7.92,200.6
2016,4,20,0,28,28,14.4,89.4,0,6.8,212.5
2016,4,20,0,29,29,14.4,89.3,0,7.49,209.5
2016,4,20,0,30,30,14.3,89.3,0,5.51,215.3
2016,4,20,0,31,31,14.3,89.4,0,6.59,220.4
2016,4,20,0,32,32,14.3,89.5,0,6.12,220.5
2016,4,20,0,33,33,14.3,89.4,0,5.65,224.6
2016,4,20,0,34,34,14.2,89.5,0,4.9,219.5
2016,4,20,0,35,35,14.2,89.5,0,5,220.5
2016,4,20,0,36,36,14.2,89.5,0,5.04,222.3
2016,4,20,0,37,37,14.1,89.4,0,4.64,215.1
2016,4,20,0,38,38,14.1,89.5,0,4.32,219.8
2016,4,20,0,39,39,14.1,89.7,0,5.44,217.8
2016,4,20,0,40,40,14.1,89.7,0,4.72,234.2
2016,4,20,0,41,41,14.1,89.9,0,5,225.1
2016,4,20,0,42,42,14.1,89.9,0,3.96,227.5
2016,4,20,0,43,43,14,90,0,4.57,224.5
2016,4,20,0,44,44,14,90.4,0,4.97,222.5
2016,4,20,0,45,45,14,90.2,0,4.93,217.7
2016,4,20,0,46,46,13.9,90.2,0,4.14,227.4
2016,4,20,0,47,47,13.9,90.4,0,4.18,231.5
2016,4,20,0,48,48,13.9,90.6,0,4.72,215.6
2016,4,20,0,49,49,13.9,90.5,0,4.5,219.1
2016,4,20,0,50,50,13.9,90.2,0,3.74,198.9
2016,4,20,0,51,51,13.9,90.3,0,4.1,191.6
2016,4,20,0,52,52,13.8,90.6,0,5.04,194.9
2016,4,20,0,53,53,13.8,91,0,5.04,193.2
2016,4,20,0,54,54,13.8,91.1,0,5.83,186
2016,4,20,0,55,55,13.8,91.1,0,5.15,204.2
2016,4,20,0,56,56,13.8,91,0,5.87,188.7
2016,4,20,0,57,57,13.8,91.2,0,6.98,185.2
2016,4,20,0,58,58,13.8,91.3,0,6.08,189.2
2016,4,20,0,59,59,13.8,91.3,0,7.31,171.8
2016,4,20,1,0,60,13.8,91.4,0,6.73,199.9
2016,4,20,1,1,61,13.8,91.4,0,7.24,175.5
2016,4,20,1,2,62,13.8,91.4,0,5,162.9
2016,4,20,1,3,63,13.8,91.5,0,6.98,158.4
2016,4,20,1,4,64,13.9,91.1,0,8.64,161.9
2016,4,20,1,5,65,14,90.8,0,7.13,150.2
2016,4,20,1,6,66,13.9,90.9,0,7.56,167.9
2016,4,20,1,7,67,14,90.8,0,6.34,146.3
2016,4,20,1,8,68,14,90.6,0,7.81,178.5
2016,4,20,1,9,69,14,90.6,0,7.7,166.3
2016,4,20,1,10,70,14,90.7,0,6.41,166.3
2016,4,20,1,11,71,14,90.9,0,6.8,165.5
2016,4,20,1,12,72,13.9,91,0,4.25,161.7
2016,4,20,1,13,73,13.9,91.2,0,8.17,171.5
2016,4,20,1,14,74,13.9,91.1,0,4.93,150.8
